,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
77,A7,Diesel,3.0L,Automatic,"41,298 miles",5.0,268 bhp,2015 (64),54.3,Hatchback,136 g/km,GREY,"£23,100"
78,A5,Petrol,2.0L,Manual,"28,398 miles",5.0,188 bhp,2018 (18),48.7,Hatchback,132 g/km,BLACK,"£23,000"
79,A5,Diesel,2.0L,Automatic,"18,685 miles",2.0,188 bhp,2017 (67),57.7,Convertible,127 g/km,RED,"£23,000"
80,A6,Diesel,2.0L,Automatic,"24,031 miles",4.0,188 bhp,2018 (67),57.7,Saloon,128 g/km,MOONLIGHT BLUE,"£23,000"
81,A5,Diesel,2.0L,Automatic,"37,000 miles",5.0,188 bhp,2017 (67),65.7,Hatchback,112 g/km,MYTHOS BLACK,"£22,900"
82,A6,Diesel,2.0L,Automatic,"40,193 miles",5.0,188 bhp,2016 (66),58.9,Estate,124 g/km,MYTHOS BLACK,"£22,800"
83,A3,Petrol,1.5L,Automatic,"44,941 miles",4.0,148 bhp,2018 (18),56.5,Saloon,113 g/km,SILVER,"£22,800"
84,A6,Diesel,2.0L,Automatic,"34,226 miles",4.0,188 bhp,2017 (67),61.4,Saloon,119 g/km,MYTHOS BLACK,"£22,700"
85,A4,Petrol,2.0L,Automatic,"51,213 miles",4.0,188 bhp,2019 (69),38.7,Saloon,137 g/km,BRILLIANT BLACK,"£22,600"
86,A5,Diesel,2.0L,Automatic,"30,567 miles",2.0,188 bhp,2017 (17),67.3,Coupe,111 g/km,BRILLIANT BLACK,"£22,500"
87,A3,Diesel,2.0L,Manual,"23,732 miles",4.0,148 bhp,2018 (68),67.3,Saloon,111 g/km,WHITE,"£22,500"
88,A5,Petrol,2.0L,Manual,"24,065 miles",2.0,188 bhp,2018 (18),47.1,Convertible,137 g/km,WHITE,"£22,500"
89,S3,Petrol,2.0L,Manual,"50,740 miles",5.0,306 bhp,2017 (67),40.4,Hatchback,162 g/km,WHITE,"£22,300"
90,A5,Petrol,2.0L,Manual,"30,630 miles",2.0,188 bhp,2018 (18),49.6,Coupe,130 g/km,WHITE,"£22,300"
91,A5,Petrol,2.0L,Automatic,"54,220 miles",2.0,188 bhp,2018 (68),50.4,Coupe,128 g/km,GREY,"£22,300"
92,Q3,Petrol,1.4L,Automatic,"20,907 miles",5.0,148 bhp,2018 (18),47.9,Estate,136 g/km,BLUE,"£22,200"
93,A5,Diesel,2.0L,Automatic,"36,319 miles",2.0,188 bhp,2018 (18),67.3,Coupe,111 g/km,WHITE,"£22,200"
94,A3,Petrol,1.5L,Automatic,"19,275 miles",5.0,148 bhp,2019 (19),42.2,Hatchback,117 g/km,GREY,"£22,100"
95,Q5,Diesel,2.0L,Automatic,"49,902 miles",5.0,187 bhp,2016 (65),47.1,Estate,157 g/km,WHITE,"£22,100"
96,A5,Petrol,1.4L,Automatic,"13,699 miles",2.0,148 bhp,2018 (18),53.3,Coupe,122 g/km,MONSOON GREY,"£22,100"
97,A3,Petrol,1.5L,Manual,"27,211 miles",5.0,148 bhp,2018 (18),54.3,Hatchback,118 g/km,GREY,"£22,100"
98,A5,Diesel,2.0L,Manual,"31,146 miles",5.0,,2017 (17),,Hatchback,113 g/km,White,"£22,100"
99,A4,Diesel,2.0L,Automatic,"60,024 miles",4.0,188 bhp,2018 (68),61.4,Saloon,121 g/km,GLACIER WHITE,"£22,000"
100,A5,Petrol,2.0L,Automatic,"33,671 miles",5.0,188 bhp,2018 (18),51.4,Hatchback,124 g/km,BLUE,"£22,000"
101,A3,Petrol,1.5L,Manual,"18,144 miles",5.0,148 bhp,2019 (19),42.2,Hatchback,125 g/km,WHITE,"£22,000"
102,A5,Diesel,2.0L,Manual,"17,787 miles",2.0,188 bhp,2018 (18),64.2,Coupe,113 g/km,WHITE,"£22,000"
103,A3,Petrol,1.5L,Manual,"17,719 miles",2.0,148 bhp,2018 (18),53.3,Convertible,120 g/km,BLUE,"£22,000"
104,A3,Diesel,2.0L,Automatic,"28,261 miles",5.0,148 bhp,2018 (18),62.8,Hatchback,116 g/km,BLACK,"£22,000"
